"","Participant","PhaseOffset","Frequency","AvgCorrect","AvgRT"
"1","1001","0","1.652 Hz",0.25,5.26941096203518
"2","1001","0","4 Hz",0.4375,4.23814887841581
"3","1001","0","10.4721 Hz",0.375,5.0963458852857
"4","1001","90","1.652 Hz",0.2,5.50774653013796
"5","1001","90","4 Hz",0.2,5.21423311827239
"6","1001","90","10.4721 Hz",0.2,4.8214285520371
"7","1001","180","1.652 Hz",0.166666666666667,4.84376920862512
"8","1001","180","4 Hz",0.5,4.44094598077936
"9","1001","180","10.4721 Hz",0.166666666666667,4.51070653845091
"10","1001","270","1.652 Hz",0.8,4.26121555122081
"11","1001","270","4 Hz",0.2,5.03811828542966
"12","1001","270","10.4721 Hz",0.4,4.24564962324221
"13","1002","0","1.652 Hz",0.4375,4.56624499939062
"14","1002","0","4 Hz",0.4375,4.38896804824617
"15","1002","0","10.4721 Hz",0.4375,4.61241855956177
"16","1002","90","1.652 Hz",0.8,4.3032075997442
"17","1002","90","4 Hz",0,5.04989388294052
"18","1002","90","10.4721 Hz",0.6,4.33879066701047
"19","1002","180","1.652 Hz",0.166666666666667,4.22048602045591
"20","1002","180","4 Hz",0.833333333333333,3.97423684315678
"21","1002","180","10.4721 Hz",0.333333333333333,5.69840222212952
"22","1002","270","1.652 Hz",0.2,4.88428673669696
"23","1002","270","4 Hz",0.4,4.76281311775092
"24","1002","270","10.4721 Hz",0.4,5.3460822113324
"25","1003","0","1.652 Hz",0.25,6.13675103785044
"26","1003","0","4 Hz",0.375,5.84166279663532
"27","1003","0","10.4721 Hz",0.4375,5.30459055508436
"28","1003","90","1.652 Hz",0.8,5.26291547673172
"29","1003","90","4 Hz",0.2,6.56950409179262
"30","1003","90","10.4721 Hz",0.6,6.16177564279351
"31","1003","180","1.652 Hz",0.5,5.17035241447835
"32","1003","180","4 Hz",0.5,7.39960042472861
"33","1003","180","10.4721 Hz",0.333333333333333,6.01167066272077
"34","1003","270","1.652 Hz",0.6,5.17468373917218
"35","1003","270","4 Hz",0.2,4.0387475319585
"36","1003","270","10.4721 Hz",0.2,5.43406769576832
"37","1004","0","1.652 Hz",0.3125,5.78489449118933
"38","1004","0","4 Hz",0.5,5.22355291560234
"39","1004","0","10.4721 Hz",0.625,5.49040824280382
"40","1004","90","1.652 Hz",0.4,5.52382724124473
"41","1004","90","4 Hz",0.4,5.26690273724962
"42","1004","90","10.4721 Hz",0.6,5.40344772522803
"43","1004","180","1.652 Hz",0.333333333333333,5.94373089323441
"44","1004","180","4 Hz",0.333333333333333,5.12795318393425
"45","1004","180","10.4721 Hz",0.333333333333333,7.11237133818213
"46","1004","270","1.652 Hz",0.2,6.59293997827917
"47","1004","270","4 Hz",0.2,5.13607288708445
"48","1004","270","10.4721 Hz",0.8,6.40002112984657
"49","1005","0","1.652 Hz",0.4375,7.92350821845139
"50","1005","0","4 Hz",0.6875,6.0554728766856
"51","1005","0","10.4721 Hz",0.5625,7.2397262584409
"52","1005","90","1.652 Hz",0.4,5.96822718558833
"53","1005","90","4 Hz",0.2,9.82825759443803
"54","1005","90","10.4721 Hz",0.2,7.01230897495989
"55","1005","180","1.652 Hz",0.666666666666667,7.77903689803012
"56","1005","180","4 Hz",0.333333333333333,8.94871587443292
"57","1005","180","10.4721 Hz",0.333333333333333,5.50364243165192
"58","1005","270","1.652 Hz",0.6,4.9653875166754
"59","1005","270","4 Hz",0.2,6.44105068414647
"60","1005","270","10.4721 Hz",0.6,7.04886866327433
"61","1006","0","1.652 Hz",0.5625,5.36594180887914
"62","1006","0","4 Hz",0.4375,7.31992410013481
"63","1006","0","10.4721 Hz",0.5625,6.11728178009071
"64","1006","90","1.652 Hz",0.6,6.93865102897397
"65","1006","90","4 Hz",0.2,9.25424481814262
"66","1006","90","10.4721 Hz",0.4,6.02043321600649
"67","1006","180","1.652 Hz",0.166666666666667,5.68399192518943
"68","1006","180","4 Hz",0.333333333333333,4.31853314056449
"69","1006","180","10.4721 Hz",0.333333333333333,7.68789007819336
"70","1006","270","1.652 Hz",0.4,4.7298710989533
"71","1006","270","4 Hz",0.6,6.71894045339432
"72","1006","270","10.4721 Hz",0.6,6.68920364968945
"73","1007","0","1.652 Hz",0.3125,5.91707371159282
"74","1007","0","4 Hz",0.8125,4.67163081360195
"75","1007","0","10.4721 Hz",0.6875,5.48849887904362
"76","1007","90","1.652 Hz",1,5.83492285045795
"77","1007","90","4 Hz",0.8,4.57158676923718
"78","1007","90","10.4721 Hz",0.6,5.75820397601929
"79","1007","180","1.652 Hz",0.5,5.33701903081965
"80","1007","180","4 Hz",0.666666666666667,4.70665493260215
"81","1007","180","10.4721 Hz",0.666666666666667,4.35963751461046
"82","1007","270","1.652 Hz",0.6,5.96463946003933
"83","1007","270","4 Hz",0.4,5.97308155421633
"84","1007","270","10.4721 Hz",0.8,6.13853409041185
"85","1008","0","1.652 Hz",0.5625,3.93798194894771
"86","1008","0","4 Hz",0.625,4.20882677788904
"87","1008","0","10.4721 Hz",0.375,4.6158603269505
"88","1008","90","1.652 Hz",0.6,3.58243265391793
"89","1008","90","4 Hz",0.2,4.86642592735589
"90","1008","90","10.4721 Hz",0.6,4.46822148051579
"91","1008","180","1.652 Hz",0.333333333333333,4.41822949476773
"92","1008","180","4 Hz",0.5,5.15177164121997
"93","1008","180","10.4721 Hz",0.833333333333333,4.57086217680868
"94","1008","270","1.652 Hz",0.6,4.31999616040848
"95","1008","270","4 Hz",0.8,4.51137476449367
"96","1008","270","10.4721 Hz",0.4,4.73004382024519
"97","1009","0","1.652 Hz",0.25,4.29004239852657
"98","1009","0","4 Hz",0.4375,4.27219112028251
"99","1009","0","10.4721 Hz",0.3125,4.55378003720398
"100","1009","90","1.652 Hz",0.4,4.2529273426393
"101","1009","90","4 Hz",0.4,3.98213411946781
"102","1009","90","10.4721 Hz",0.8,4.3034050731454
"103","1009","180","1.652 Hz",0.333333333333333,4.62947216759979
"104","1009","180","4 Hz",0.5,3.92211818962824
"105","1009","180","10.4721 Hz",0.666666666666667,4.17367075469035
"106","1009","270","1.652 Hz",0.2,4.19207268906757
"107","1009","270","4 Hz",0.6,3.83851033449173
"108","1009","270","10.4721 Hz",0,5.22702439678833
"109","1010","0","1.652 Hz",0.4375,3.924990929263
"110","1010","0","4 Hz",0.5625,3.80949450717162
"111","1010","0","10.4721 Hz",0.125,3.51582371950644
"112","1010","90","1.652 Hz",0.2,3.55216959652025
"113","1010","90","4 Hz",0.2,4.17389342291281
"114","1010","90","10.4721 Hz",0.2,4.24627524751704
"115","1010","180","1.652 Hz",0.166666666666667,3.72554027737351
"116","1010","180","4 Hz",0.666666666666667,3.91148797015194
"117","1010","180","10.4721 Hz",0.333333333333333,4.41577093768865
"118","1010","270","1.652 Hz",0.6,4.17554034274071
"119","1010","270","4 Hz",0.4,3.48687761689071
"120","1010","270","10.4721 Hz",0.2,4.09080987945199
"121","1011","0","1.652 Hz",0.4375,3.6738950831168
"122","1011","0","4 Hz",0.6875,3.66758384620698
"123","1011","0","10.4721 Hz",0.5,3.63484191939096
"124","1011","90","1.652 Hz",0.6,4.65757632927271
"125","1011","90","4 Hz",0.6,3.86211489741691
"126","1011","90","10.4721 Hz",0.4,4.32012632019469
"127","1011","180","1.652 Hz",0.666666666666667,3.77527865474985
"128","1011","180","4 Hz",0.666666666666667,3.92231424434188
"129","1011","180","10.4721 Hz",0.333333333333333,3.52242630290372
"130","1011","270","1.652 Hz",0.4,4.59718315131031
"131","1011","270","4 Hz",0.6,3.68776030071894
"132","1011","270","10.4721 Hz",0.4,3.92703469006228
"133","1012","0","1.652 Hz",0.5,6.64364149641187
"134","1012","0","4 Hz",0.3125,5.98015489529644
"135","1012","0","10.4721 Hz",0.5625,6.34538881690241
"136","1012","90","1.652 Hz",0.6,7.20595209386666
"137","1012","90","4 Hz",0.2,7.08498746245168
"138","1012","90","10.4721 Hz",0.4,6.90567055388819
"139","1012","180","1.652 Hz",0.666666666666667,5.67098364319342
"140","1012","180","4 Hz",0.166666666666667,7.43012081340809
"141","1012","180","10.4721 Hz",0.5,6.07578980561811
"142","1012","270","1.652 Hz",0.4,7.33007406610996
"143","1012","270","4 Hz",0.4,5.00327512465883
"144","1012","270","10.4721 Hz",0.6,4.28797836063895
"145","1013","0","1.652 Hz",0.4375,4.86846771104683
"146","1013","0","4 Hz",0.5625,3.99253203659828
"147","1013","0","10.4721 Hz",0.6875,4.19816056849231
"148","1013","90","1.652 Hz",0.4,3.55101228519343
"149","1013","90","4 Hz",0.4,3.78084851989988
"150","1013","90","10.4721 Hz",0.8,5.10622868338833
"151","1013","180","1.652 Hz",0.666666666666667,4.45121860295573
"152","1013","180","4 Hz",0.333333333333333,4.20444228650497
"153","1013","180","10.4721 Hz",0.333333333333333,4.0763060276416
"154","1013","270","1.652 Hz",0.2,3.78353617471876
"155","1013","270","4 Hz",0.8,3.69448453915538
"156","1013","270","10.4721 Hz",0.6,4.45929333977401
"157","1014","0","1.652 Hz",0.75,5.10211391562552
"158","1014","0","4 Hz",0.6875,4.42638225353221
"159","1014","0","10.4721 Hz",0.8125,4.25506061470878
"160","1014","90","1.652 Hz",0.6,5.01132734310813
"161","1014","90","4 Hz",0.4,3.98007540934486
"162","1014","90","10.4721 Hz",0.8,5.69567239818862
"163","1014","180","1.652 Hz",0.333333333333333,6.70754731599785
"164","1014","180","4 Hz",0.5,4.47501678563034
"165","1014","180","10.4721 Hz",0.666666666666667,5.36549490656277
"166","1014","270","1.652 Hz",0.8,4.51685433482053
"167","1014","270","4 Hz",0.6,5.19060971954605
"168","1014","270","10.4721 Hz",0.4,3.92697945062537
"169","1015","0","1.652 Hz",0.375,5.18710664544415
"170","1015","0","4 Hz",0.375,5.27715112299484
"171","1015","0","10.4721 Hz",0.3125,5.80875243482296
"172","1015","90","1.652 Hz",0.4,6.00396009359975
"173","1015","90","4 Hz",0.2,4.28361275529023
