"","Participant","x6","AvgCorrect"
"1","1001","half-length",0.34375
"2","1001","Theta\oneeighty",0.25
"3","1001","Theta\zero",0.625
"4","1002","half-length",0.46875
"5","1002","Theta\oneeighty",0.25
"6","1002","Theta\zero",0.4375
"7","1003","half-length",0.3125
"8","1003","Theta\oneeighty",0.25
"9","1003","Theta\zero",0.4375
"10","1004","half-length",0.4375
"11","1004","Theta\oneeighty",0.375
"12","1004","Theta\zero",0.5625
"13","1005","half-length",0.34375
"14","1005","Theta\oneeighty",0.1875
"15","1005","Theta\zero",0.375
"16","1006","half-length",0.46875
"17","1006","Theta\oneeighty",0.4375
"18","1006","Theta\zero",0.625
"19","1007","half-length",0.5
"20","1007","Theta\oneeighty",0.4375
"21","1007","Theta\zero",0.5625
"22","1008","half-length",0.46875
"23","1008","Theta\oneeighty",0.5
"24","1008","Theta\zero",0.5625
"25","1009","half-length",0.375
"26","1009","Theta\oneeighty",0.3125
"27","1009","Theta\zero",0.5625
"28","1010","half-length",0.25
"29","1010","Theta\oneeighty",0.5625
"30","1010","Theta\zero",0.625
"31","1011","half-length",0.375
"32","1011","Theta\oneeighty",0.5625
"33","1011","Theta\zero",0.375
"34","1012","half-length",0.5
"35","1012","Theta\oneeighty",0.4375
"36","1012","Theta\zero",0.375
"37","1013","half-length",0.625
"38","1013","Theta\oneeighty",0.4375
"39","1013","Theta\zero",0.375
"40","1014","half-length",0.4375
"41","1014","Theta\oneeighty",0.5625
"42","1014","Theta\zero",0.5625
"43","1015","half-length",0.40625
"44","1015","Theta\oneeighty",0.625
"45","1015","Theta\zero",0.6875
"46","1016","half-length",0.40625
"47","1016","Theta\oneeighty",0.4375
"48","1016","Theta\zero",0.5625
"49","1017","half-length",0.3125
"50","1017","Theta\oneeighty",0.3125
"51","1017","Theta\zero",0.625
"52","1018","half-length",0.5
"53","1018","Theta\oneeighty",0.5
"54","1018","Theta\zero",0.75
"55","1019","half-length",0.625
"56","1019","Theta\oneeighty",0.3125
"57","1019","Theta\zero",0.625
"58","1020","half-length",0.5625
"59","1020","Theta\oneeighty",0.3125
"60","1020","Theta\zero",0.5625
"61","1021","half-length",0.5625
"62","1021","Theta\oneeighty",0.75
"63","1021","Theta\zero",0.5625
"64","1022","half-length",0.34375
"65","1022","Theta\oneeighty",0.3125
"66","1022","Theta\zero",0.6875
"67","1023","half-length",0.5
"68","1023","Theta\oneeighty",0.375
"69","1023","Theta\zero",0.625
"70","1024","half-length",0.4375
"71","1024","Theta\oneeighty",0.375
"72","1024","Theta\zero",0.3125
